Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
536001,85105,SET OF 6 SPICE TINS,8,2010-01-04 13:33:00,9.18,12658,Germany
536002,85107,JAM MAKING SET,5,2010-01-04 10:34:00,3.67,12739,Netherlands
536002,85106,PACK OF 72 CAKE CASES,2,2010-01-04 10:34:00,3.9,12739,Netherlands
536003,85106,PACK OF 72 CAKE CASES,2,2010-01-04 14:21:00,3.9,12571,United Kingdom
536003,85102,REGENCY CAKESTAND,1,2010-01-04 14:21:00,4.35,12571,United Kingdom
536003,85100,WHITE HANGING HEART,2,2010-01-04 14:21:00,6.3,12571,United Kingdom
536004,85106,PACK OF 72 CAKE CASES,1,2010-01-04 12:54:00,3.9,12890,United Kingdom
536004,85101,JUMBO BAG RED,3,2010-01-04 12:54:00,9.32,12890,United Kingdom
536004,85106,PACK OF 72 CAKE CASES,6,2010-01-04 12:54:00,3.9,12890,United Kingdom
536005,85101,JUMBO BAG RED,10,2010-01-04 17:53:00,9.32,12688,United Kingdom
536005,85101,JUMBO BAG RED,4,2010-01-04 17:53:00,9.32,12688,United Kingdom
536006,85103,PARTY BUNTING,1,2010-01-04 10:21:00,11.18,12850,Netherlands
536006,85109,ASSORTED COLOUR BIRD,9,2010-01-04 10:21:00,6.63,12850,Netherlands
536007,85106,PACK OF 72 CAKE CASES,13,2010-01-04 11:05:00,3.9,12620,United Kingdom
536007,85102,REGENCY CAKESTAND,5,2010-01-04 11:05:00,4.35,12620,United Kingdom
536008,85101,JUMBO BAG RED,10,2010-01-04 09:19:00,9.32,12712,United Kingdom
536008,85105,SET OF 6 SPICE TINS,1,2010-01-04 09:19:00,9.18,12712,United Kingdom
536008,85106,PACK OF 72 CAKE CASES,5,2010-01-04 09:19:00,3.9,12712,United Kingdom
536009,85103,PARTY BUNTING,10,2010-01-04 13:48:00,11.18,12614,United Kingdom
536010,85100,WHITE HANGING HEART,3,2010-01-04 09:07:00,6.3,12868,EIRE
536010,85107,JAM MAKING SET,10,2010-01-04 09:07:00,3.67,12868,EIRE
536011,85100,WHITE HANGING HEART,2,2010-01-04 11:31:00,6.3,12758,United Kingdom
536011,85100,WHITE HANGING HEART,10,2010-01-04 11:31:00,6.3,12758,United Kingdom
536012,85103,PARTY BUNTING,4,2010-01-04 17:06:00,11.18,12823,United Kingdom
536012,85100,WHITE HANGING HEART,7,2010-01-04 17:06:00,6.3,12823,United Kingdom
536013,85103,PARTY BUNTING,6,2010-01-04 17:46:00,11.18,12819,EIRE
536013,85102,REGENCY CAKESTAND,2,2010-01-04 17:46:00,4.35,12819,EIRE
536014,85107,JAM MAKING SET,6,2010-01-05 14:37:00,3.67,12866,United Kingdom
536014,85100,WHITE HANGING HEART,6,2010-01-05 14:37:00,6.3,12866,United Kingdom
536014,85100,WHITE HANGING HEART,9,2010-01-05 14:37:00,6.3,12866,United Kingdom
536014,85100,WHITE HANGING HEART,5,2010-01-05 14:37:00,6.3,12866,United Kingdom
536015,85103,PARTY BUNTING,6,2010-01-05 08:13:00,11.18,12759,United Kingdom
536015,85100,WHITE HANGING HEART,3,2010-01-05 08:13:00,6.3,12759,United Kingdom
536015,85108,RECIPE BOX PANTRY,10,2010-01-05 08:13:00,10.31,12759,United Kingdom
536015,85104,LUNCH BAG BLACK,8,2010-01-05 08:13:00,5.6,12759,United Kingdom
536016,85107,JAM MAKING SET,10,2010-01-05 10:11:00,3.67,12720,United Kingdom
